"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the standard user logged successfully","664","Verify_Login_Standard_User","Default Suite","Tue Oct 22 15:50:16 AST 2024","passed","Tue Oct 22 15:50:17 AST 2024","loginTestCases","MavenPractice","loginTestCases","Verify_Login_Standard_User"
"","637","loginWithInvalidCredentials","Default Suite","Tue Oct 22 15:50:23 AST 2024","passed","Tue Oct 22 15:50:23 AST 2024","loginTestCases","MavenPractice","loginTestCases","loginWithInvalidCredentials"
"Verify can't complete the checkout with empty last name","1141","checkoutOrderWithoutLastName","Default Suite","Tue Oct 22 15:51:34 AST 2024","passed","Tue Oct 22 15:51:36 AST 2024","addProductTestCases","MavenPractice","addProductTestCases","checkoutOrderWithoutLastName"
"Verify Can't complete the checkout with empty first name","1243","checkoutOrderWithoutFirstName","Default Suite","Tue Oct 22 15:51:26 AST 2024","passed","Tue Oct 22 15:51:28 AST 2024","addProductTestCases","MavenPractice","addProductTestCases","checkoutOrderWithoutFirstName"
"Verify the locked user can't be logged","644","theLockedUserCantBeLogged","Default Suite","Tue Oct 22 15:50:29 AST 2024","passed","Tue Oct 22 15:50:30 AST 2024","loginTestCases","MavenPractice","loginTestCases","theLockedUserCantBeLogged"
"","2","loginToSystem","Default Suite","Mon Oct 21 11:46:35 AST 2024","broken","Mon Oct 21 11:46:35 AST 2024","addProduct_testCases","MavenPractice","addProduct_testCases","loginToSystem"
"Verify can't complete the checkout order with empty postalCode","969","checkOutOrderWithoutPostalCode","Default Suite","Tue Oct 22 15:51:19 AST 2024","passed","Tue Oct 22 15:51:20 AST 2024","addProductTestCases","MavenPractice","addProductTestCases","checkOutOrderWithoutPostalCode"
"","4","test_setUp","Default Suite","Sun Oct 20 11:54:50 AST 2024","broken","Sun Oct 20 11:54:50 AST 2024","loginTestCases","MavenPractice","loginTestCases","test_setUp"
"Verify the locked user can't be logged","3","theLockedUserCantBeLgged","Default Suite","Thu Oct 17 17:10:27 AST 2024","skipped","Thu Oct 17 17:10:27 AST 2024","loginTestCases","MavenPractice","loginTestCases","theLockedUserCantBeLgged"
"verify adding new product and checkOut","1596","addingNewProduct","Default Suite","Tue Oct 22 15:51:11 AST 2024","passed","Tue Oct 22 15:51:13 AST 2024","addProductTestCases","MavenPractice","addProductTestCases","addingNewProduct"
"Verify the standered user logged successfully","2","Verify_Login_Standered_User","Default Suite","Sat Oct 19 12:37:33 AST 2024","skipped","Sat Oct 19 12:37:33 AST 2024","loginTestCases","MavenPractice","loginTestCases","Verify_Login_Standered_User"
"","3","loginToSystem","Default Suite","Mon Oct 21 13:36:11 AST 2024","broken","Mon Oct 21 13:36:11 AST 2024","addProductTestCases","MavenPractice","addProductTestCases","loginToSystem"
"verify adding new product and checkOut","1","addingNewProduct","Default Suite","Mon Oct 21 11:46:35 AST 2024","skipped","Mon Oct 21 11:46:35 AST 2024","addProduct_testCases","MavenPractice","addProduct_testCases","addingNewProduct"
"Verify Can't complete the checkout with empty first name","761","addingProductWithoutFirstName","Default Suite","Tue Oct 22 15:34:53 AST 2024","passed","Tue Oct 22 15:34:53 AST 2024","addProductTestCases","MavenPractice","addProductTestCases","addingProductWithoutFirstName"
